Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
13,21 September 2014,05:52,F9 v1.1,"Cape Canaveral , LC-40",SpaceX CRS-4 (Dragon C106 .1),"2,216 kg",LEO ( ISS ),NASA ( CRS ),Success,Uncontrolled
14,10 January 2015,09:47,F9 v1.1,"Cape Canaveral , LC-40",SpaceX CRS-5 (Dragon C107),"2,395 kg",LEO ( ISS ),NASA ( CRS ),Success,Failure
15,11 February 2015,23:03,F9 v1.1,"Cape Canaveral , LC-40",DSCOVR,570 kg,HEO ( Sun–Earth L 1 insertion),USAF NASA NOAA,Success,Controlled
16,2 March 2015,03:50,F9 v1.1,"Cape Canaveral , LC-40",ABS-3A Eutelsat 115 West B,"4,159 kg",GTO,ABS Eutelsat,Success,No attempt
17,14 April 2015,20:10,F9 v1.1,"Cape Canaveral , LC-40",SpaceX CRS-6 (Dragon C108.1 ),"1,898 kg",LEO ( ISS ),NASA ( CRS ),Success,Failure
18,27 April 2015,23:03,F9 v1.1,"Cape Canaveral , LC-40",TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Turkmenistan National Space Agency,Success,No attempt
19,28 June 2015,14:21,F9 v1.1,"Cape Canaveral , LC-40",SpaceX CRS-7 (Dragon C109),"1,952 kg",LEO ( ISS ),NASA ( CRS ),Failure (in flight),Precluded
20,22 December 2015,01:29,F9 FT,"Cape Canaveral , LC-40",Orbcomm-OG2 -2 (11 satellites),"2,034 kg",LEO,Orbcomm,Success,Success
21,17 January 2016,18:42,F9 v1.1,"VAFB , SLC-4E",Jason-3,553 kg,LEO,NASA ( LSP ) NOAA CNES,Success,Failure
22,4 March 2016,23:35,F9 FT,"Cape Canaveral , LC-40",SES-9,"5,271 kg",GTO,SES,Success,Failure
23,8 April 2016,20:43,F9 FT,"Cape Canaveral , LC-40",SpaceX CRS-8 (Dragon C110.1),"3,136 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
24,6 May 2016,05:21,F9 FT,"Cape Canaveral , LC-40",JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,Success,Success
25,27 May 2016,21:39,F9 FT,"Cape Canaveral , LC-40",Thaicom 8,"3,100 kg",GTO,Thaicom,Success,Success
26,15 June 2016,14:29,F9 FT,"Cape Canaveral , LC-40",ABS-2A Eutelsat 117 West B,"3,600 kg",GTO,ABS Eutelsat,Success,Failure
27,18 July 2016,04:45,F9 FT,"Cape Canaveral , LC-40",SpaceX CRS-9 (Dragon C111.1),"2,257 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
28,14 August 2016,05:26,F9 FT,"Cape Canaveral , LC-40",JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,Success
29,14 January 2017,17:54,F9 FT,"VAFB , SLC-4E",Iridium NEXT -1 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,Success
30,19 February 2017,14:39,F9 FT,"KSC , LC-39A",SpaceX CRS-10 (Dragon C112.1),"2,490 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
31,16 March 2017,06:00,F9 FT,"KSC , LC-39A",EchoStar 23,"5,600 kg",GTO,EchoStar,Success,No attempt
32,30 March 2017,22:27,F9 FTB1021.2115,"KSC , LC-39A",SES-10,"5,300 kg",GTO,SES,Success,Success
33,1 May 2017,11:15,F9 FT,"KSC , LC-39A",NROL-76,,LEO,NRO,Success,Success
34,15 May 2017,23:21,F9 FT,"KSC , LC-39A",Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,Success,No attempt
35,3 June 2017,21:07,F9 FT,"KSC , LC-39A",SpaceX CRS-11 (Dragon C106.2 ♺),"2,708 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
36,23 June 2017,19:10,F9 FTB1029.2195,"KSC , LC-39A",BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,Success,Success
37,25 June 2017,20:25,F9 FT,"VAFB , SLC-4E",Iridium NEXT -2 (10 satellites),"9,600 kg",LEO,Iridium Communications,Success,Success
38,5 July 2017,23:38,F9 FT,"KSC , LC-39A",Intelsat 35e,"6,761 kg",GTO,Intelsat,Success,No attempt
39,14 August 2017,16:31,F9 B4,"KSC , LC-39A",SpaceX CRS-12 (Dragon C113.1),"3,310 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
40,24 August 2017,18:51,F9 FT,"VAFB , SLC-4E",Formosat-5,475 kg,SSO,NSPO,Success,Success
41,7 September 2017,14:00,F9 B4,"KSC , LC-39A",Boeing X-37B OTV-5,"4,990 kg",LEO,USAF,Success,Success
42,9 October 2017,12:37,F9 B4,"VAFB , SLC-4E",Iridium NEXT -3 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,Success
43,11 October 2017,22:53:00,F9 FTB1031.2220,"KSC , LC-39A",SES-11 / EchoStar 105,"5,200 kg",GTO,SES S.A. EchoStar,Success,Success
44,30 October 2017,19:34,F9 B4,"KSC , LC-39A",Koreasat 5A,"3,500 kg",GTO,KT Corporation,Success,Success
45,15 December 2017,15:36,F9 FTB1035.2227,"Cape Canaveral , SLC-40",SpaceX CRS-13 (Dragon C108.2 ♺),"2,205 kg",LEO ( ISS ),NASA ( CRS ),Success,Success
46,23 December 2017,01:27,F9 FTB1036.2227,"VAFB , SLC-4E",Iridium NEXT -4 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,Controlled
47,8 January 2018,01:00,F9 B4,"CCAFS , SLC-40",Zuma,,LEO,Northrop Grumman,Success,Success
48,31 January 2018,21:25,F9 FTB1032.2245,"CCAFS , SLC-40",GovSat-1 (SES-16),"4,230 kg",GTO,SES,Success,Controlled
49,22 February 2018,14:17,F9 FTB1038.2268,"VAFB , SLC-4E",Paz Tintin A and Tintin B,"2,150 kg",SSO,Hisdesat exactEarth SpaceX,Success,No attempt
50,6 March 2018,05:33,F9 B4,"CCAFS , SLC-40",Hispasat 30W-6 PODSat,"6,092 kg",GTO,Hispasat NovaWurks,Success,No attempt
51,30 March 2018,14:14,F9 B4B1041.2268,"VAFB , SLC-4E",Iridium NEXT -5 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,No attempt
52,2 April 2018,20:30,F9 B4B1039.2292,"CCAFS , SLC-40",SpaceX CRS-14 (Dragon C110.2 ♺),"2,647 kg",LEO ( ISS ),NASA ( CRS ),Success,No attempt
53,18 April 2018,22:51,F9 B4,"CCAFS , SLC-40",Transiting Exoplanet Survey Satellite (TESS),362 kg,HEO for P/2 orbit,NASA ( LSP ),Success,Success
54,11 May 2018,20:14,F9 B5311B1046.1268,"KSC , LC-39A",Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia / BTRC,Success,Success
55,22 May 2018,19:47,F9 B4B1043.2322,"VAFB , SLC-4E",Iridium NEXT -6 (5 satellites) GRACE-FO × 2,"6,460 kg",Polar LEO,Iridium Communications GFZ • NASA,Success,No attempt
56,4 June 2018,04:45,F9 B4B1040.2268,"CCAFS , SLC-40",SES-12,"5,384 kg",GTO,SES,Success,No attempt
57,29 June 2018,09:42,F9 B4B1045.2336,"CCAFS , SLC-40",SpaceX CRS-15 (Dragon C111.2 ♺),"2,697 kg",LEO ( ISS ),NASA ( CRS ),Success,No attempt
58,22 July 2018,05:50,F9 B5,"CCAFS , SLC-40",Telstar 19V,"7,075 kg",GTO,Telesat,Success,Success
59,25 July 2018,11:39,F9 B5349B1048,"VAFB , SLC-4E",Iridium NEXT -7 (10 satellites),"9,600 kg",Polar LEO,Iridium Communications,Success,Success
60,7 August 2018,05:18,F9 B5B1046.2354,"CCAFS , SLC-40",Merah Putih (formerly Telkom 4),"5,800 kg",GTO,Telkom Indonesia,Success,Success
61,10 September 2018,04:45,F9 B5,"CCAFS , SLC-40",Telstar 18V / Apstar -5C,"7,060 kg",GTO,Telesat,Success,Success
62,8 October 2018,02:22,F9 B5B1048.2364,"VAFB , SLC-4E",SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,Success
